,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
40,Busselton,-33.65,115.3333,61.0,69,0,5.01,AU,1615682679
41,Hobart,-42.8794,147.3294,59.0,36,0,18.41,AU,1615682672
42,Avarua,-21.2078,-159.775,84.2,70,0,5.75,CK,1615682513
43,Chui,-33.6971,-53.4616,61.88,76,0,5.68,UY,1615682680
44,Ballina,-28.8667,153.5667,82.4,65,40,9.22,AU,1615682680
45,Alofi,-19.0595,-169.9187,82.4,78,96,9.22,NU,1615682681
46,Lüderitz,-26.6481,15.1594,66.9,73,0,9.75,NA,1615682681
47,Port Elizabeth,-33.918,25.5701,71.6,68,40,8.05,ZA,1615682471
48,Atuona,-9.8,-139.0333,79.56,62,0,5.61,PF,1615682681
49,Tuatapere,-46.1333,167.6833,73.0,44,2,15.01,NZ,1615682682
50,Ugoofaaru,5.6667,73.0,82.85,79,9,13.85,MV,1615682682
51,Bredasdorp,-34.5322,20.0403,66.2,88,88,9.22,ZA,1615682682
52,Yangi Marg`ilon,40.4272,71.7189,37.4,87,90,16.11,UZ,1615682683
53,Cherskiy,68.75,161.3,-3.64,94,100,13.67,RU,1615682683
54,Broken Hill,-31.95,141.4333,57.2,51,0,25.32,AU,1615682683
55,Oktyabr'skiy,54.4815,53.471,-1.21,90,52,8.08,RU,1615682684
56,Zhangjiakou,40.81,114.8794,42.22,79,100,9.98,CN,1615682684
57,Norman Wells,65.282,-126.8329,-2.2,60,75,2.3,CA,1615682540
58,Coyhaique,-45.5752,-72.0662,59.0,67,0,3.44,CL,1615682685
59,East London,-33.0153,27.9116,74.43,78,0,13.24,ZA,1615682685
60,Castro,-24.7911,-50.0119,65.64,86,57,4.03,BR,1615682685
61,Ubinskoye,55.3068,79.6802,-8.05,99,100,8.55,RU,1615682686
62,Springbok,-29.6643,17.8865,62.4,54,100,2.57,ZA,1615682686
63,Mataura,-46.1927,168.8643,73.0,44,9,15.01,NZ,1615682686
64,Cape Town,-33.9258,18.4232,66.99,94,75,6.91,ZA,1615682509
65,Pevek,69.7008,170.3133,-2.76,95,100,4.88,RU,1615682687
66,Listvyanka,51.8535,104.8693,14.0,85,90,35.79,RU,1615682687
67,Kahului,20.8947,-156.47,72.0,77,90,17.27,US,1615682681
68,Kapaa,22.0752,-159.319,73.0,94,90,25.32,US,1615682688
69,Beloha,-25.1667,45.05,73.24,79,0,14.27,MG,1615682688
70,Warwick,41.7001,-71.4162,39.2,26,1,3.44,US,1615682688
71,San Cristobal,7.7669,-72.225,77.0,69,40,2.3,VE,1615682689
72,Atar,20.5169,-13.0499,65.61,13,0,6.33,MR,1615682689
73,Albany,42.6001,-73.9662,36.0,42,3,3.98,US,1615682689
74,Kelvington,52.1667,-103.5343,44.6,49,72,5.75,CA,1615682690
75,Huitzó,19.9667,-102.0667,80.6,36,1,6.91,MX,1615682690
76,Gijang,35.2442,129.2139,48.2,81,20,3.44,KR,1615682690
77,Kalawit,8.0667,122.5167,81.36,81,100,8.21,PH,1615682691
78,Airai,-8.9266,125.4092,70.81,77,27,0.67,TL,1615682691
79,Jamestown,42.097,-79.2353,34.0,47,1,9.4,US,1615682691
80,Hualmay,-11.0964,-77.6139,72.05,78,1,4.25,PE,1615682692
81,Natal,-5.795,-35.2094,80.6,74,40,10.36,BR,1615682662
82,São João da Barra,-21.6403,-41.0511,76.48,87,100,11.41,BR,1615682692
83,Los Llanos de Aridane,28.6585,-17.9182,64.4,72,75,8.05,ES,1615682693
84,Saint-Augustin,51.226,-58.6502,19.65,75,100,18.19,CA,1615682693
85,Barrow,71.2906,-156.7887,-2.2,65,1,12.66,US,1615682693
86,Maceió,-9.6658,-35.7353,75.2,88,20,4.61,BR,1615682638
87,Faanui,-16.4833,-151.75,83.26,74,0,12.37,PF,1615682694
88,Saint-Philippe,-21.3585,55.7679,77.0,69,0,6.91,RE,1615682694
89,Lookan,5.037,120.1027,82.11,72,7,1.66,PH,1615682694
90,Tsiroanomandidy,-18.7667,46.0333,61.97,85,0,2.37,MG,1615682695
91,Sept-Îles,50.2001,-66.3821,15.8,45,75,10.36,CA,1615682507
92,Carnarvon,-24.8667,113.6333,86.0,62,36,12.66,AU,1615682695
93,La Ronge,55.1001,-105.2842,32.0,51,41,9.22,CA,1615682696
94,Quatre Cocos,-20.2078,57.7625,80.6,83,75,8.05,MU,1615682696
95,Hilo,19.7297,-155.09,71.6,83,90,3.44,US,1615682696
96,Vaini,-21.2,-175.2,78.8,83,75,8.05,TO,1615682697
97,Puerto Ayora,-0.7393,-90.3518,80.01,89,100,8.01,EC,1615682697
98,Myre,69.1036,15.9492,36.0,93,90,8.05,NO,1615682697
99,Nova Serrana,-19.8761,-44.9836,68.34,90,99,2.48,BR,1615682698
100,Polysayevo,54.6012,86.2459,-6.9,91,70,8.37,RU,1615682698
101,Tadine,-21.55,167.8833,79.83,72,100,14.88,NC,1615682698
102,Qasigiannguit,68.8193,-51.1922,10.4,67,20,14.97,GL,1615682699
103,Montague,42.5356,-72.5351,35.6,30,1,9.22,US,1615682699
104,Girona,41.9831,2.8249,45.0,93,1,2.86,ES,1615682699
105,Port Macquarie,-31.4333,152.9167,89.01,69,40,6.91,AU,1615682700
106,Fairbanks,64.8378,-147.7164,10.99,47,1,2.59,US,1615682700
107,Bontang,0.1333,117.5,81.41,75,23,3.56,ID,1615682700
108,Bratsk,56.1325,101.6142,6.8,78,40,15.66,RU,1615682691
109,Hadrut,39.52,47.0318,24.57,95,86,0.92,AZ,1615682701
110,Samarai,-10.6167,150.6667,82.67,76,100,14.47,PG,1615682701
111,Gopināthpur,22.65,86.0667,64.4,94,40,1.66,IN,1615682702
112,Ranong,9.9658,98.6348,75.2,94,20,4.61,TH,1615682460
113,Kuril'sk,45.2333,147.8833,35.71,63,100,7.45,RU,1615682702
114,Clyde River,70.4692,-68.5914,-5.8,84,90,20.71,CA,1615682703
115,Saint-Pierre,-21.3393,55.4781,77.0,69,0,6.91,RE,1615682703
116,Bāfq,31.6128,55.4107,45.55,53,0,6.51,IR,1615682703
117,Ponta do Sol,32.6667,-17.1,57.99,72,100,1.01,PT,1615682704
118,Gunjur,13.2019,-16.7339,77.0,44,1,3.44,GM,1615682704
119,Banepā,27.6298,85.5214,50.0,93,20,3.44,NP,1615682704
120,Chokurdakh,70.6333,147.9167,-14.6,87,0,3.6,RU,1615682705
121,Port Hardy,50.6996,-127.4199,46.4,87,90,12.66,CA,1615682705
122,Rockport,28.0206,-97.0544,73.4,88,90,16.11,US,1615682705
123,Umm Hājar,13.2954,19.6966,82.63,13,68,10.98,TD,1615682407
124,Lewistown,40.5992,-77.5714,44.6,26,1,12.66,US,1615682706
125,Paamiut,61.994,-49.6678,17.58,51,100,8.28,GL,1615682706
126,Walvis Bay,-22.9575,14.5053,64.0,88,13,4.61,NA,1615682706
127,Utete,-7.986,38.758,70.93,94,2,1.03,TZ,1615682707
128,Bud,39.447,-86.1758,45.0,42,1,4.34,US,1615682707
129,Teluknaga,-6.0989,106.6381,82.0,78,20,5.75,ID,1615682708
130,Richards Bay,-28.783,32.0377,73.78,81,0,12.15,ZA,1615682679
131,Cabedelo,-6.9811,-34.8339,80.6,74,40,9.22,BR,1615682708
132,Kamaishi,39.2667,141.8833,44.6,65,75,14.97,JP,1615682708
133,Nanortalik,60.1432,-45.2371,26.33,77,100,5.28,GL,1615682709
134,Xining,36.6167,101.7667,46.87,26,100,2.01,CN,1615682709
135,Mumbwa,-14.9783,27.0619,62.38,97,0,3.15,ZM,1615682710
136,Dwārka,22.2394,68.9678,75.15,73,0,12.39,IN,1615682710
137,Ola,59.5833,151.2833,2.19,54,0,2.1,RU,1615682695
138,Nobeoka,32.5833,131.6667,58.37,49,0,2.24,JP,1615682710
139,Fare,-16.7,-151.0167,82.89,72,1,12.64,PF,1615682711
140,Talnakh,69.4865,88.3972,-21.64,98,100,9.24,RU,1615682711
141,Mariehamn,60.0973,19.9348,32.0,100,90,1.14,AX,1615682711
142,Tasiilaq,65.6145,-37.6368,24.8,86,75,27.63,GL,1615682712
143,Pisco,-13.7,-76.2167,75.2,73,0,3.44,PE,1615682712
144,Thompson,55.7435,-97.8558,15.8,53,20,9.22,CA,1615682712
145,Labuhan,-6.8844,112.2051,80.69,75,97,5.95,ID,1615682713
146,Meulaboh,4.1363,96.1285,77.16,83,51,3.69,ID,1615682713
147,Ishigaki,24.3448,124.1572,68.0,64,75,10.36,JP,1615682713
148,Tres Arroyos,-38.3739,-60.2798,64.6,55,89,7.2,AR,1615682714
149,Saskylakh,71.9167,114.0833,-8.86,94,100,13.15,RU,1615682714
150,San Andrés,12.5847,-81.7006,80.6,74,40,11.5,CO,1615682655
151,Melilla,35.2937,-2.9383,59.0,63,0,5.75,ES,1615682715
152,Berdigestyakh,62.0989,126.6992,13.14,89,93,9.13,RU,1615682715
153,Abu Samrah,35.3029,37.1841,47.1,71,100,3.24,SY,1615682715
154,Vizinga,61.0749,50.1031,15.94,91,100,10.67,RU,1615682716
155,Bambous Virieux,-20.3428,57.7575,80.6,83,75,8.05,MU,1615682716
156,Karārī,25.45,81.4333,66.76,45,0,4.59,IN,1615682717
157,Evensk,61.95,159.2333,2.32,65,91,2.86,RU,1615682717
158,Brae,60.3964,-1.353,42.8,81,90,25.32,GB,1615682717
159,Marathon,44.9,-89.7668,53.6,32,1,13.8,US,1615682718
160,Cockburn Town,21.4612,-71.1419,76.21,75,0,19.35,TC,1615682640
161,Usmajac,19.8667,-103.5667,84.2,39,1,11.5,MX,1615682718
162,Hellín,38.5106,-1.701,45.0,87,0,3.44,ES,1615682718
163,Kabanjahe,3.1001,98.4908,77.0,88,40,5.75,ID,1615682719
164,Pangnirtung,66.1451,-65.7125,-13.47,98,99,0.69,CA,1615682719
165,Khatanga,71.9667,102.5,-19.52,94,78,11.83,RU,1615682719
166,Qaanaaq,77.484,-69.3632,-1.34,63,100,7.83,GL,1615682720
167,Northam,51.0333,-4.2167,46.0,82,63,11.01,GB,1615682720
168,Fukuechō,32.6881,128.8419,55.4,71,40,2.3,JP,1615682720
169,Leiyang,26.4024,112.8591,63.88,79,0,2.35,CN,1615682721
170,Cidreira,-30.1811,-50.2056,73.81,86,1,10.76,BR,1615682721
171,Shetpe,44.1667,52.1167,25.27,42,30,7.23,KZ,1615682721
172,Waipawa,-41.4122,175.5153,69.8,64,0,20.71,NZ,1615682722
173,Katsuura,35.1333,140.3,61.0,53,44,3.0,JP,1615682722
174,Klaksvík,62.2266,-6.589,41.0,87,75,28.77,FO,1615682722
175,São Filipe,14.8961,-24.4956,70.23,75,0,5.91,CV,1615682723
176,Bandarbeyla,9.4942,50.8122,77.88,75,99,8.21,SO,1615682723
177,Acajutla,13.5928,-89.8275,73.99,94,36,3.0,SV,1615682465
178,Bambanglipuro,-7.95,110.2833,81.54,69,91,3.04,ID,1615682723
179,Nelson Bay,-32.7167,152.15,71.01,100,75,18.41,AU,1615682724
180,Ilulissat,69.2167,-51.1,10.4,67,20,14.97,GL,1615682724
181,Fortuna,40.5982,-124.1573,52.0,76,90,13.8,US,1615682724
182,Bānsi,27.1833,82.9333,63.73,45,0,5.39,IN,1615682725
183,Zwedru,6.0667,-8.1281,73.8,95,100,4.25,LR,1615682725
184,Japura,-0.3167,102.35,74.44,95,100,2.21,ID,1615682725
185,Port Shepstone,-30.7414,30.455,73.58,84,0,14.85,ZA,1615682726
186,Estelle,29.8458,-90.1067,71.6,73,1,9.22,US,1615682726
187,Yumbe,3.4651,31.2469,72.77,44,78,1.23,UG,1615682726
188,Kavaratti,10.5669,72.642,82.87,68,98,6.93,IN,1615682727
189,Bubaque,11.2833,-15.8333,78.08,61,99,9.64,GW,1615682727
190,Ancud,-41.8697,-73.8203,54.0,82,0,4.61,CL,1615682727
191,Vyazemskiy,47.5378,134.7525,33.37,73,0,2.48,RU,1615682728
192,Nayoro,44.3506,142.4578,40.24,76,100,6.69,JP,1615682728
193,Lagoa,39.05,-27.9833,60.31,85,100,27.78,PT,1615682728
194,Lazarev,52.225,141.5131,30.78,91,0,17.63,RU,1615682729
195,Sola,-13.8833,167.55,80.6,89,90,10.85,VU,1615682729
196,Reporoa,-38.4333,176.35,82.0,36,20,1.01,NZ,1615682436
197,Pathanāmthitta,9.2667,76.7833,72.81,81,2,2.53,IN,1615682692
198,Iqaluit,63.7506,-68.5145,-18.0,69,75,13.8,CA,1615682730
199,Martapura,-3.4167,114.85,77.0,94,40,4.61,ID,1615682730
200,George Town,5.4112,100.3354,80.6,88,20,2.3,MY,1615682731
201,Olenino,56.2092,33.4889,31.96,98,100,9.48,RU,1615682731
202,Bethel,41.3712,-73.414,42.8,24,1,5.75,US,1615682731
203,Leningradskiy,69.3833,178.4167,23.7,86,100,5.93,RU,1615682732
204,Beba,22.4437,-79.7253,71.6,73,20,10.36,CU,1615682732
205,Pagudpud,18.5616,120.7868,82.4,57,40,5.75,PH,1615682732
206,Paredon,16.0333,-93.8667,80.69,72,1,5.95,MX,1615682733
207,Adré,13.4667,22.2,74.55,17,52,14.74,TD,1615682733
208,Longyearbyen,78.2186,15.6401,5.0,61,75,10.36,SJ,1615682733
209,Ucluelet,48.9329,-125.5528,46.0,93,90,13.8,CA,1615682665
210,Hofn,64.2539,-15.2082,35.08,55,99,10.13,IS,1615682734
211,Sakakah,29.9697,40.2064,53.6,47,0,5.75,SA,1615682734
212,Fergus Falls,46.283,-96.0776,48.2,61,1,5.75,US,1615682734
213,San Patricio,28.017,-97.5169,72.0,83,90,25.32,US,1615682735
214,Primorsko-Akhtarsk,46.0497,38.1747,34.23,70,94,8.5,RU,1615682735
215,Astoria,46.1879,-123.8313,48.99,76,1,20.71,US,1615682709
216,South Sioux City,42.4739,-96.4136,55.4,38,40,10.36,US,1615682736
217,Kongsberg,59.6652,9.6465,30.99,84,100,2.06,NO,1615682736
218,Noumea,-22.2763,166.4572,87.8,48,75,3.44,NC,1615682551
219,Tocopilla,-22.092,-70.1979,69.24,83,12,7.78,CL,1615682736
220,Mar del Plata,-38.0023,-57.5575,68.0,82,0,10.51,AR,1615682737
221,Dingle,10.9995,122.6711,80.89,81,48,5.08,PH,1615682737
222,Key Largo,25.0865,-80.4473,73.0,73,0,1.99,US,1615682737
223,Udachny,66.4167,112.4,3.74,88,100,14.63,RU,1615682738
224,Portland,45.5234,-122.6762,62.6,34,75,4.61,US,1615682280
225,Katobu,-4.9408,122.5276,84.63,69,78,2.08,ID,1615682738
226,Imaichi,36.7167,139.6833,53.01,49,59,15.01,JP,1615682738
227,Khovu-Aksy,51.1333,93.6,-5.71,77,0,1.88,RU,1615682739
228,Batagay-Alyta,67.8006,130.4114,-10.8,86,100,2.68,RU,1615682739
229,Berlevåg,70.8578,29.0864,24.3,81,100,6.98,NO,1615682739
230,Mahébourg,-20.4081,57.7,80.6,83,75,8.05,MU,1615682740
231,Dunmore Town,25.5,-76.65,72.07,78,12,16.35,BS,1615682740
232,Skibbereen,51.55,-9.2667,39.2,81,20,16.11,IE,1615682740
233,Tautira,-17.7333,-149.15,87.8,62,20,5.75,PF,1615682741
234,Assiut,27.181,31.1837,54.73,50,100,8.34,EG,1615682741
235,Saint George,37.1041,-113.5841,50.0,57,1,5.75,US,1615682624
236,Tsabong,-26.0217,22.401,73.83,45,1,11.83,BW,1615682741
237,Nicoya,10.1483,-85.452,84.2,45,0,19.57,CR,1615682651
238,Alice Springs,-23.7,133.8833,59.0,100,90,14.97,AU,1615682742
239,Laguna,38.421,-121.4238,64.4,48,1,12.66,US,1615682742
240,Darlawn,24.0167,92.9,63.91,57,7,2.28,IN,1615682742
241,Mt. Pleasant,32.7941,-79.8626,62.01,63,90,11.74,US,1615682743
242,Ouésso,1.6136,16.0517,73.11,82,100,2.51,CG,1615682743
243,Avera,33.194,-82.5271,69.8,77,1,4.61,US,1615682743
244,Vengerovo,55.6848,76.7471,-4.32,99,100,7.49,RU,1615682744
245,Codrington,-38.2667,141.9667,59.74,49,80,12.37,AU,1615682744
246,Rocha,-34.4833,-54.3333,57.45,80,0,3.06,UY,1615682744
247,Baykit,61.67,96.37,3.58,89,100,11.92,RU,1615682745
248,Houma,29.5958,-90.7195,71.6,60,1,11.5,US,1615682694
249,Thai Binh,20.45,106.3333,69.8,94,20,2.3,VN,1615682745
250,Geraldton,-28.7667,114.6,77.0,31,0,29.93,AU,1615682746
251,Umm Kaddadah,13.6017,26.6876,74.53,10,0,16.58,SD,1615682746
252,Hays,30.0502,-98.0336,72.0,57,100,11.01,US,1615682746
253,Tommot,58.9564,126.2925,18.55,83,100,7.47,RU,1615682747
254,Shelburne,44.0787,-80.2041,39.0,58,4,19.75,CA,1615682747
255,Yashkino,55.8736,85.4265,0.0,71,40,15.66,RU,1615682747
256,Cayenne,4.9333,-52.3333,75.99,94,40,10.56,GF,1615682748
257,Gisborne,-38.6533,178.0042,66.0,70,42,5.01,NZ,1615682748
258,Winona,43.9666,-91.7668,50.0,57,1,3.44,US,1615682748
259,Helong,42.5397,128.9972,46.26,44,0,3.69,CN,1615682749
260,Vostok,46.4856,135.8833,35.15,81,42,1.81,RU,1615682749
261,Upernavik,72.7868,-56.1549,-5.71,99,100,4.54,GL,1615682749
262,Soyo,-6.1349,12.3689,80.24,86,100,7.31,AO,1615682750
263,Hirado,33.3597,129.5531,57.99,87,75,4.61,JP,1615682750
264,Abalak,58.1286,68.5944,3.9,96,60,6.13,RU,1615682750
265,Papetoai,-17.4961,-149.8729,87.8,62,20,5.75,PF,1615682751
266,Narsaq,60.9167,-46.05,24.8,58,75,2.86,GL,1615682751
267,Sayyan,15.1718,44.3244,54.45,25,3,0.07,YE,1615682751
268,Umluj,25.0213,37.2685,70.86,62,100,9.42,SA,1615682752
269,Yinchuan,38.4681,106.2731,56.25,29,100,2.84,CN,1615682752
270,Mossamedes,-15.1961,12.1522,74.21,82,100,7.25,AO,1615682752
271,Isabela,6.7085,121.9711,82.4,83,40,3.44,PH,1615682753
272,Kibala,9.1104,18.3463,87.8,37,0,2.95,TD,1615682753
273,Chicama,-7.8447,-79.1469,74.86,70,18,5.61,PE,1615682753
274,Ol'ga,43.7444,135.2892,43.83,41,100,4.0,RU,1615682754
275,Arraial do Cabo,-22.9661,-42.0278,77.0,86,100,13.22,BR,1615682754
276,Kieta,-6.2167,155.6333,85.69,62,89,6.24,PG,1615682754
277,Bomi,7.2461,-11.5258,76.44,93,100,1.59,SL,1615682754
278,Puerto Escondido,15.85,-97.0667,82.4,78,40,8.05,MX,1615682755
279,Antofagasta,-23.65,-70.4,68.0,83,20,10.36,CL,1615682755
280,Dongfeng,42.6403,125.5118,44.04,62,0,6.31,CN,1615682756
281,Taltal,-25.4,-70.4833,65.91,87,29,4.7,CL,1615682756
282,El Alto,-4.2714,-81.2147,76.1,71,100,8.55,PE,1615682756
283,Zhigansk,66.7697,123.3711,6.76,94,97,10.92,RU,1615682757
284,Henties Bay,-22.116,14.2845,64.0,93,0,4.0,NA,1615682757
285,Tual,-5.6667,132.75,83.16,72,77,8.7,ID,1615682757
286,Ribeira Grande,38.5167,-28.7,61.84,85,100,26.89,PT,1615682758
287,Thinadhoo,0.5333,72.9333,83.37,71,48,7.87,MV,1615682758
288,Fort Nelson,58.8053,-122.7002,3.2,72,90,10.36,CA,1615682473
289,Rochegda,62.8,43.25,23.4,92,100,10.38,RU,1615682758
290,Half Moon Bay,37.4636,-122.4286,54.0,71,90,9.22,US,1615682759
291,Tamandaré,-8.7597,-35.1047,78.03,79,0,8.16,BR,1615682759
292,Gushikawa,26.3544,127.8686,66.2,82,40,5.75,JP,1615682760
293,Wilmington,34.2257,-77.9447,57.99,58,90,8.05,US,1615682071
294,Hasaki,35.7333,140.8333,57.2,41,20,19.57,JP,1615682760
295,Broome,42.2506,-75.833,36.0,37,1,4.61,US,1615682760
296,Salalah,17.0151,54.0924,71.6,78,0,2.3,OM,1615682761
297,Brookings,44.3114,-96.7984,51.8,40,1,3.44,US,1615682705
298,Saint-Joseph,-21.3667,55.6167,77.0,69,0,6.91,RE,1615682761
299,Santo Domingo,18.5001,-69.9886,75.0,94,40,9.22,DO,1615682598
300,Ōdachō-ōda,35.1833,132.5,44.6,87,20,5.75,JP,1615682761
301,Souillac,-20.5167,57.5167,80.6,83,75,8.05,MU,1615682762
302,Dickinson,29.4608,-95.0513,72.0,87,100,4.0,US,1615682762
303,Qaqortoq,60.7167,-46.0333,24.8,58,75,2.15,GL,1615682762
304,China,25.7,-99.2333,78.17,55,33,28.3,MX,1615682763
305,Kudahuvadhoo,2.6708,72.8944,83.26,70,77,8.32,MV,1615682763
306,Kaitangata,-46.2817,169.8464,64.0,69,0,8.01,NZ,1615682763
307,Buraidah,26.326,43.975,59.0,51,4,4.61,SA,1615682532
308,Yumen,40.2833,97.2,49.69,15,89,6.67,CN,1615682764
309,Tilichiki,60.4667,166.1,4.06,79,100,16.82,RU,1615682764
310,Tessalit,20.1986,1.0114,64.4,43,6,9.28,ML,1615682764
311,Aden,12.7794,45.0367,77.09,79,0,18.21,YE,1615682545
312,Kirkuk,35.4681,44.3922,49.66,58,0,3.0,IQ,1615682765
313,Nome,64.5011,-165.4064,10.4,67,1,26.46,US,1615682765
314,Bermeo,43.4209,-2.7215,53.01,93,75,10.36,ES,1615682766
315,Pemangkat,1.1667,108.9667,79.9,80,31,6.02,ID,1615682766
316,Frolovo,49.7713,43.6622,28.0,87,100,5.99,RU,1615682766
317,Amapá,1.0,-52.0,72.25,98,100,2.21,BR,1615682766
318,Siilinjärvi,63.0833,27.6667,32.0,93,75,6.91,FI,1615682767
319,Jiuquan,39.7432,98.5174,51.22,18,0,6.26,CN,1615682767
320,Nemuro,43.3236,145.575,35.6,60,75,11.5,JP,1615682768
321,Mezen',65.8522,44.24,18.36,96,98,4.59,RU,1615682768
322,Pangody,65.85,74.4859,8.22,94,100,13.09,RU,1615682768
323,Hirara,24.8,125.2833,69.8,64,75,8.05,JP,1615682769
324,Rio Grande,-32.035,-52.0986,71.31,88,2,10.0,BR,1615682691
325,Kununurra,-15.7667,128.7333,87.8,74,40,9.22,AU,1615682769
326,Maridi,4.9158,29.4742,70.84,63,67,2.8,SS,1615682769
327,Atikokan,48.7555,-91.6216,32.95,77,0,6.64,CA,1615682770
328,Quelimane,-17.8786,36.8883,78.8,94,0,2.08,MZ,1615682770
329,Urubichá,-15.3833,-62.95,74.82,80,100,1.39,BO,1615682770
330,Río Gallegos,-51.6226,-69.2181,50.0,43,0,9.22,AR,1615682489
331,Huangmei,30.1924,116.025,58.44,73,0,4.5,CN,1615682771
332,Mareeba,-17.0,145.4333,88.0,62,75,8.05,AU,1615682771
333,Mawlaik,23.6333,94.4167,72.5,44,53,0.98,MM,1615682606
334,Punalūr,9.0,76.9333,78.8,78,20,3.44,IN,1615682704
335,Nampula,-15.1165,39.2666,68.88,98,100,1.92,MZ,1615682724
336,Ojinaga,29.5667,-104.4167,68.0,8,90,28.77,MX,1615682772
337,Neiafu,-18.65,-173.9833,84.2,74,40,5.75,TO,1615682772
338,Saint Anthony,45.0205,-93.218,55.4,38,1,10.36,US,1615682773
339,Wonthaggi,-38.6044,145.5913,64.99,55,8,9.48,AU,1615682773
340,Liwale,-9.7667,37.9333,69.1,98,98,2.55,TZ,1615682773
341,Port Augusta,-32.5,137.7667,64.4,55,75,14.97,AU,1615682774
342,Byron Bay,-28.65,153.6167,82.4,65,40,9.22,AU,1615682653
343,Bhadrāchalam,17.6667,80.8833,65.71,80,56,2.19,IN,1615682774
344,Lukang,24.0567,120.4352,68.0,68,20,11.5,TW,1615682774
345,Ulladulla,-35.35,150.4667,57.2,100,90,14.97,AU,1615682775
346,Šamorín,48.0302,17.3097,48.2,57,0,8.05,SK,1615682775
347,Hong Gai,20.956,107.0946,69.8,94,20,2.3,VN,1615682775
348,Yokadouma,3.5167,15.05,70.57,92,100,3.44,CM,1615682776
349,Mouila,-1.8685,11.0559,73.92,98,100,3.06,GA,1615682776
350,Rāvar,31.2656,56.8055,41.61,63,0,0.43,IR,1615682776
351,Neuquén,-38.9516,-68.0591,71.6,53,0,2.3,AR,1615682490
352,Vardø,70.3705,31.1107,25.66,88,100,7.11,NO,1615682777
353,Tari,12.4086,4.4914,80.24,16,51,7.87,NG,1615682777
354,Hailar,49.2,119.7,33.44,58,38,18.43,CN,1615682777
355,Saldanha,-33.0117,17.9442,68.0,88,99,3.44,ZA,1615682778
356,Merauke,-8.4667,140.3333,82.38,78,89,5.5,ID,1615682778
357,Esperance,-33.8667,121.9,60.8,63,79,6.91,AU,1615682778
358,Oneonta,42.4529,-75.0638,33.01,48,0,1.01,US,1615682766
